mem_addr,lat,lon,gps_altitude,baro_altitude,temp,pres,timestamp,aux_data,realtime
C60,0.0000000000,0.0000000000,0.0000000000,872.0000000000,0.0000000000,0.0000000000,50729,1073741824,43.65
C80,0.0000000000,0.0000000000,0.0000000000,882.0000000000,0.0000000000,0.0000000000,51230,1073741824,44.15
CA0,0.0000000000,0.0000000000,0.0000000000,891.0000000000,0.0000000000,0.0000000000,51731,1073741824,44.65
CC0,0.0000000000,0.0000000000,0.0000000000,901.0000000000,0.0000000000,0.0000000000,52232,1073741824,45.15
CE0,0.0000000000,0.0000000000,0.0000000000,911.0000000000,0.0000000000,0.0000000000,52733,1073741824,45.65
D00,0.0000000000,0.0000000000,0.0000000000,921.0000000000,0.0000000000,0.0000000000,53395,1073741824,46.31
D20,0.0000000000,0.0000000000,0.0000000000,931.0000000000,0.0000000000,0.0000000000,53896,1073741824,46.82
D40,0.0000000000,0.0000000000,0.0000000000,941.0000000000,0.0000000000,0.0000000000,54397,1073741824,47.32
D60,0.0000000000,0.0000000000,0.0000000000,951.0000000000,0.0000000000,0.0000000000,54898,1073741824,47.82
D80,0.0000000000,0.0000000000,0.0000000000,961.0000000000,0.0000000000,0.0000000000,55399,1073741824,48.32
DA0,0.0000000000,0.0000000000,0.0000000000,970.0000000000,0.0000000000,0.0000000000,55900,1073741824,48.82
DC0,0.0000000000,0.0000000000,0.0000000000,980.0000000000,0.0000000000,0.0000000000,56401,1073741824,49.32
DE0,0.0000000000,0.0000000000,0.0000000000,990.0000000000,0.0000000000,0.0000000000,56902,1073741824,49.82
E00,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,0.0000000000,0.0000000000,57564,1073741824,50.48
E20,0.0000000000,0.0000000000,0.0000000000,1010.0000000000,0.0000000000,0.0000000000,58065,1073741824,50.99
E40,0.0000000000,0.0000000000,0.0000000000,1020.0000000000,0.0000000000,0.0000000000,58566,1073741824,51.49
E60,0.0000000000,0.0000000000,0.0000000000,1030.0000000000,0.0000000000,0.0000000000,59067,1073741824,51.99
E80,0.0000000000,0.0000000000,0.0000000000,1040.0000000000,0.0000000000,0.0000000000,59568,1073741824,52.49
EA0,0.0000000000,0.0000000000,0.0000000000,1049.0000000000,0.0000000000,0.0000000000,60069,1073741824,52.99
EC0,0.0000000000,0.0000000000,0.0000000000,1059.0000000000,0.0000000000,0.0000000000,60570,1073741824,53.49
EE0,0.0000000000,0.0000000000,0.0000000000,1069.0000000000,0.0000000000,0.0000000000,61071,1073741824,53.99
F00,0.0000000000,0.0000000000,0.0000000000,1079.0000000000,0.0000000000,0.0000000000,61734,1073741824,54.65
F20,0.0000000000,0.0000000000,0.0000000000,1089.0000000000,0.0000000000,0.0000000000,62235,1073741824,55.15
F40,40.1112518311,-88.2290267944,184.2910003662,1093.0000000000,0.0000000000,0.0000000000,62736,1388314624,55.66
F60,40.1112518311,-88.2290267944,184.2910003662,1103.0000000000,0.0000000000,0.0000000000,63237,1388314624,56.16
F80,40.1112518311,-88.2290267944,184.2910003662,1113.0000000000,0.0000000000,0.0000000000,63738,1388314624,56.66
FA0,40.1112518311,-88.2290267944,184.2910003662,1123.0000000000,0.0000000000,0.0000000000,64239,1388314624,57.16
FC0,40.1112518311,-88.2290267944,184.2910003662,1133.0000000000,0.0000000000,0.0000000000,64740,1388314624,57.66
FE0,40.1112518311,-88.2290267944,184.2910003662,1142.0000000000,0.0000000000,0.0000000000,65241,1388314624,58.16
1000,40.1112518311,-88.2290267944,184.2910003662,1152.0000000000,0.0000000000,0.0000000000,65904,1388314624,58.82
1020,40.1112518311,-88.2290267944,184.2910003662,1162.0000000000,0.0000000000,0.0000000000,66405,1388314624,59.33
1040,40.1112518311,-88.2290267944,184.2910003662,1172.0000000000,0.0000000000,0.0000000000,66906,1388314624,59.83
1060,40.1112518311,-88.2290267944,184.2910003662,1182.0000000000,0.0000000000,0.0000000000,67407,1388314624,60.33
1080,40.1112518311,-88.2290267944,184.2910003662,1192.0000000000,0.0000000000,0.0000000000,67908,1388314624,60.83
10A0,40.1112518311,-88.2290267944,184.2910003662,1201.0000000000,0.0000000000,0.0000000000,68409,1388314624,61.33
10C0,40.1112518311,-88.2290267944,184.2910003662,1211.0000000000,0.0000000000,0.0000000000,68910,1388314624,61.83
10E0,40.1112518311,-88.2290267944,184.2910003662,1221.0000000000,0.0000000000,0.0000000000,69411,1388314624,62.33
1100,40.1112518311,-88.2290267944,184.2910003662,1231.0000000000,0.0000000000,0.0000000000,70074,1388314624,62.99
1120,40.1112518311,-88.2290267944,184.2910003662,1241.0000000000,0.0000000000,0.0000000000,70575,1388314624,63.49
1140,40.1112518311,-88.2290267944,184.2910003662,1251.0000000000,0.0000000000,0.0000000000,71076,1388314624,64.00
1160,40.1112518311,-88.2290267944,184.2910003662,1261.0000000000,0.0000000000,0.0000000000,71577,1388314624,64.50
1180,40.1112518311,-88.2290267944,184.2910003662,1271.0000000000,0.0000000000,0.0000000000,72078,1388314624,65.00
11A0,40.1112518311,-88.2290267944,184.2910003662,1280.0000000000,0.0000000000,0.0000000000,72579,1388314624,65.50
11C0,40.1112518311,-88.2290267944,184.2910003662,1290.0000000000,0.0000000000,0.0000000000,73080,1388314624,66.00
11E0,40.1112518311,-88.2290267944,184.2910003662,1300.0000000000,0.0000000000,0.0000000000,73581,1388314624,66.50
1200,40.1112518311,-88.2290267944,184.2910003662,1310.0000000000,0.0000000000,0.0000000000,74243,1388314624,67.16
